"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000484403 (pp) 9606.ENSP00000484443","false","pp","9606.ENSP00000484403 (pp) 9606.ENSP00000484443","0.0","0.0","0.0","0.0","0.0",,"0.0","0.785","0.785"
"pp","9606.ENSP00000455064 (pp) 9606.ENSP00000461382","false","pp","9606.ENSP00000455064 (pp) 9606.ENSP00000461382","0.052","0.0","0.0","0.0","0.0",,"0.0","0.81","0.807"
"pp","9606.ENSP00000450873 (pp) 9606.ENSP00000475986","false","pp","9606.ENSP00000450873 (pp) 9606.ENSP00000475986","0.049","0.096","0.9","0.0","0.0",,"0.0","0.909","0.071"
"pp","9606.ENSP00000447942 (pp) 9606.ENSP00000494750","false","pp","9606.ENSP00000447942 (pp) 9606.ENSP00000494750","0.049","0.0","0.5","0.099","0.0",,"0.0","0.739","0.462"
"pp","9606.ENSP00000418944 (pp) 9606.ENSP00000496268","false","pp","9606.ENSP00000418944 (pp) 9606.ENSP00000496268","0.654","0.0","0.0","0.0","0.0",,"0.0","0.952","0.869"
"pp","9606.ENSP00000418401 (pp) 9606.ENSP00000463842","false","pp","9606.ENSP00000418401 (pp) 9606.ENSP00000463842","0.056","0.0","0.0","0.815","0.0",,"0.0","0.817","0.0"
"pp","9606.ENSP00000416750 (pp) 9606.ENSP00000490614","false","pp","9606.ENSP00000416750 (pp) 9606.ENSP00000490614","0.0","0.0","0.0","0.114","0.761",,"0.0","0.785","0.064"
"pp","9606.ENSP00000394484 (pp) 9606.ENSP00000490614","false","pp","9606.ENSP00000394484 (pp) 9606.ENSP00000490614","0.048","0.0","0.0","0.114","0.334",,"0.0","0.727","0.571"
"pp","9606.ENSP00000387549 (pp) 9606.ENSP00000441065","false","pp","9606.ENSP00000387549 (pp) 9606.ENSP00000441065","0.0","0.0","0.0","0.0","0.0",,"0.0","0.776","0.776"
"pp","9606.ENSP00000384881 (pp) 9606.ENSP00000426809","false","pp","9606.ENSP00000384881 (pp) 9606.ENSP00000426809","0.0","0.0","0.0","0.0","0.0",,"0.0","0.786","0.786"
