input	symbol	entrez_id	name	status
TOMM5	TOMM5	401505	translocase of outer mitochondrial membrane 5	ok
RPS19	RPS19	6223	ribosomal protein S19	ok
LGR5	LGR5	8549	leucine rich repeat containing G protein-coupled receptor 5	ok
IARS2	IARS2	55699	isoleucyl-tRNA synthetase 2, mitochondrial	ok
ADRB2	ADRB2	154	adrenoceptor beta 2	ok
NR5A2	NR5A2	2494	nuclear receptor subfamily 5 group A member 2	ok
PXDN	PXDN	7837	peroxidasin	ok
LPO	LPO	4025	lactoperoxidase	ok
TPO	THPO	7066	thrombopoietin	ok
TPO	TPO	7173	thyroid peroxidase	ok
EPX	EPX	8288	eosinophil peroxidase	ok
PXDNL	PXDNL	137902	peroxidasin like	ok
PTGS1	PTGS1	5742	prostaglandin-endoperoxide synthase 1	ok
PTGS2	PTGS2	5743	prostaglandin-endoperoxide synthase 2	ok
KCNH5	KCNH5	27133	potassium voltage-gated channel subfamily H member 5	ok
ADRB1	ADRB1	153	adrenoceptor beta 1	ok
PHTF2	PHTF2	57157	putative homeodomain transcription factor 2	ok
STAC	STAC	6769	SH3 and cysteine rich domain	ok
PRKCD	PRKCD	5580	protein kinase C delta	ok
CHCHD7	CHCHD7	79145	coiled-coil-helix-coiled-coil-helix domain containing 7	ok
CLCNKA	CLCNKA	1187	chloride voltage-gated channel Ka	ok
DUOX2	DUOX2	50506	dual oxidase 2	ok
IL2RG	IL2RG	3561	interleukin 2 receptor subunit gamma	ok
PITPNC1	PITPNC1	26207	phosphatidylinositol transfer protein cytoplasmic 1	ok
PRELID1	PRELID1	27166	PRELI domain containing 1	ok
USP25	USP25	29761	ubiquitin specific peptidase 25	ok
STAC3	STAC3	246329	SH3 and cysteine rich domain 3	ok
PCDHGA11	PCDHGA11	56105	protocadherin gamma subfamily A, 11	ok
PITPNM1	PITPNM1	9600	phosphatidylinositol transfer protein membrane associated 1	ok
NR2F2	NR2F2	7026	nuclear receptor subfamily 2 group F member 2	ok
NR5A1	NR5A1	2516	nuclear receptor subfamily 5 group A member 1	ok
LGR4	LGR4	55366	leucine rich repeat containing G protein-coupled receptor 4	ok
KCNH1	KCNH1	3756	potassium voltage-gated channel subfamily H member 1	ok
MYD88	MYD88	4615	MYD88 innate immune signal transduction adaptor	ok
PIK3R1	PIK3R1	5295	phosphoinositide-3-kinase regulatory subunit 1	ok
PITPNB	PITPNB	23760	phosphatidylinositol transfer protein beta	ok
PITPNA	PITPNA	5306	phosphatidylinositol transfer protein alpha	ok
PITPNM2	PITPNM2	57605	phosphatidylinositol transfer protein membrane associated 2	ok
HERPUD2	HERPUD2	64224	HERPUD family member 2	ok
RASSF1	RASSF1	11186	Ras association domain family member 1	ok
OR10Z1	OR10Z1	128368	olfactory receptor family 10 subfamily Z member 1	ok
TRPM4	TRPM4	54795	transient receptor potential cation channel subfamily M member 4	ok
DGKE	DGKE	8526	diacylglycerol kinase epsilon	ok
DRD1	DRD1	1812	dopamine receptor D1	ok
NTSR2	NTSR2	23620	neurotensin receptor 2	ok
TCOF1	TCOF1	6949	treacle ribosome biogenesis factor 1	ok
PPP1R12B	PPP1R12B	4660	protein phosphatase 1 regulatory subunit 12B	ok
DGKZ	DGKZ	8525	diacylglycerol kinase zeta	ok
MRPL32	MRPL14	64928	mitochondrial ribosomal protein L14	ok
MRPL32	MRPL32	64983	mitochondrial ribosomal protein L32	ok
LCTL	LCTL	197021	lactase like	ok
GSTA3	GSTA3	2940	glutathione S-transferase alpha 3	ok
SH2B3	SH2B3	10019	SH2B adaptor protein 3	ok
S100A6	S100A6	6277	S100 calcium binding protein A6	ok
RARA	RARA	5914	retinoic acid receptor alpha	ok
SCN2A	SCN2A	6326	sodium voltage-gated channel alpha subunit 2	ok
PPP1R12A	PPP1R12A	4659	protein phosphatase 1 regulatory subunit 12A	ok
CRHR2	CRHR2	1395	corticotropin releasing hormone receptor 2	ok
S100A4	S100A4	6275	S100 calcium binding protein A4	ok
S100A5	S100A5	6276	S100 calcium binding protein A5	ok
PTPRJ	PTPRJ	5795	protein tyrosine phosphatase receptor type J	ok
OR5H14	OR5H14	403273	olfactory receptor family 5 subfamily H member 14	ok
C5orf46	C5orf46	389336	chromosome 5 open reading frame 46	ok
DEF8	DEF8	54849	differentially expressed in FDCP 8 homolog	ok
PODXL	PODXL	5420	podocalyxin like	ok
TNNT2	TNNT2	7139	troponin T2, cardiac type	ok
ASRGL1	ASRGL1	80150	asparaginase and isoaspartyl peptidase 1	ok
RAB11FIP1	RAB11FIP1	80223	RAB11 family interacting protein 1	ok
TRPC6	TRPC6	7225	transient receptor potential cation channel subfamily C member 6	ok
KCNMB3	KCNMB3	27094	potassium calcium-activated channel subfamily M regulatory beta subunit 3	ok
SLC2A5	SLC2A5	6518	solute carrier family 2 member 5	ok
RHD	RHD	6007	Rh blood group D antigen	ok
RAB27B	RAB27B	5874	RAB27B, member RAS oncogene family	ok
ARHGEF16	ARHGEF16	27237	Rho guanine nucleotide exchange factor 16	ok
RAB27A	RAB27A	5873	RAB27A, member RAS oncogene family	ok
LACTB	LACTB	114294	lactamase beta	ok
RASGRP2	RASGRP2	10235	RAS guanyl releasing protein 2	ok
SLC16A14	SLC16A14	151473	solute carrier family 16 member 14	ok
SLC24A5	SLC24A5	283652	solute carrier family 24 member 5	ok
ESRRB	ESRRB	2103	estrogen related receptor beta	ok
CCDC34	CCDC34	91057	coiled-coil domain containing 34	ok
TASP1	TASP1	55617	taspase 1	ok
ESRRG	ESRRG	2104	estrogen related receptor gamma	ok
MSC	SLC25A37	51312	solute carrier family 25 member 37	ok
MSC	MSC	9242	musculin	ok
SLC2A6	SLC2A6	11182	solute carrier family 2 member 6	ok
PLA2G4C	PLA2G4C	8605	phospholipase A2 group IVC	ok
SLC9A5	SLC9A5	6553	solute carrier family 9 member A5	ok
LTA4H	LTA4H	4048	leukotriene A4 hydrolase	ok
PLA2G4A	PLA2G4A	5321	phospholipase A2 group IVA	ok
KCND3	KCND3	3752	potassium voltage-gated channel subfamily D member 3	ok
EPHA10	EPHA10	284656	EPH receptor A10	ok
RNF139	RNF139	11236	ring finger protein 139	ok
ACAT2	SOAT2	8435	sterol O-acyltransferase 2	ok
ACAT2	ACAT2	39	acetyl-CoA acetyltransferase 2	ok
DDRGK1	DDRGK1	65992	DDRGK domain containing 1	ok
ACAT1	SOAT1	6646	sterol O-acyltransferase 1	ok
ACAT1	ACAT1	38	acetyl-CoA acetyltransferase 1	ok
