pathway_id,pathway_name,mean_E_drug,mean_E_comp,frac_tilt_edrug,frac_tilt_ecomp,n_drugs_addictive,n_drugs_nonaddictive,n_add_p,n_non_p,n_add_drugs,n_non_drugs,p_value_drug,p_value_comp,FDR_drug,FDR_comp
KEGG:hsa00062,Fatty acid elongation,0.7582417582417582,0.5384615384615384,0.8791208791208791,0.8791208791208791,62,120,6,1,62,120,0.0003393430288397111,2.479741456573492e-08,0.0005467072657397913,6.717508572658041e-08
KEGG:hsa00072,Synthesis and degradation of ketone bodies,0.5056179775280899,0.5056179775280899,0.7528089887640449,0.7528089887640449,29,60,2,2,29,60,0.00019051218185937068,0.00019051218185937068,0.0003166776677951903,0.00028935532223829105
KEGG:hsa00100,Steroid biosynthesis,0.07272727272727272,0.40181818181818185,0.5363636363636364,0.5363636363636364,38,72,1,5,38,72,2.973605012828532e-11,1.1146914595546628e-10,1.1510190190105946e-10,4.430288319178933e-10
KEGG:hsa00120,Primary bile acid biosynthesis,0.6730769230769231,0.2956730769230769,0.8365384615384616,0.8365384615384616,39,65,2,4,39,65,0.0005208601379598663,0.0014920437742794075,0.0008028470582871318,0.0019297335750478322
KEGG:hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,0.20408163265306123,0.45918367346938777,0.4897959183673469,0.7142857142857143,12,37,1,2,12,37,0.00016064716916001099,0.00016064716916001099,0.00026996560866157947,0.0002474466297245431
KEGG:hsa00140,Steroid hormone biosynthesis,0.38553113553113555,0.37653846153846154,0.6923076923076923,0.6923076923076923,44,86,4,10,44,86,4.1587656642692685e-08,6.80423533070977e-08,1.0978503994948376e-07,1.751728670246558e-07
KEGG:hsa00190,Oxidative phosphorylation,0.7025189625189625,0.2682206682206682,0.8666666666666667,0.7692307692307693,65,130,11,3,65,130,4.3228991132434767e-07,7.217203313053626e-07,1.0217761540393671e-06,1.5942260462303042e-06
KEGG:hsa00260,"""Glycine  serine and threonine metabolism""",0.5272727272727272,0.5272727272727272,0.7636363636363637,0.7636363636363637,25,30,2,1,25,30,0.00019873683900530507,0.00019873683900530507,0.0003298573699382378,0.00030142676556654206
KEGG:hsa00280,"""Valine  leucine and isoleucine degradation""",0.5523809523809523,0.28154761904761905,0.7785714285714286,0.7785714285714286,54,86,3,4,54,86,3.830908588527954e-07,0.004158420069694467,9.196153578424919e-07,0.0049384072583394485
KEGG:hsa00330,Arginine and proline metabolism,0.07692307692307693,0.2783882783882784,0.5384615384615384,0.5384615384615384,29,62,3,3,29,62,3.2303754751274574e-06,8.623740122409389e-07,6.806509793158466e-06,1.885793773755788e-06
KEGG:hsa00360,Phenylalanine metabolism,0.13013698630136986,0.3424657534246575,0.5753424657534246,0.5753424657534246,26,47,3,3,26,47,5.218163959832416e-07,8.831992386939395e-07,1.2228962477294335e-06,1.9236079418754005e-06
KEGG:hsa00380,Tryptophan metabolism,0.24965277777777775,0.17317708333333334,0.625,0.6302083333333334,52,140,4,7,52,140,9.489178433604794e-11,1.2248696607751107e-12,3.46845832400727e-10,6.636234132259182e-12
KEGG:hsa00400,"""Phenylalanine  tyrosine and tryptophan biosynthesis""",0.1095890410958904,0.3424657534246575,0.5342465753424658,0.5753424657534246,26,47,1,3,26,47,5.218163959832416e-07,8.831992386939395e-07,1.2228962477294335e-06,1.9236079418754005e-06
KEGG:hsa00410,beta-Alanine metabolism,0.6333333333333333,0.6333333333333333,0.8166666666666667,0.8166666666666667,26,34,1,1,26,34,0.001517086496944403,0.001517086496944403,0.002200573887146723,0.001959795012066969
KEGG:hsa00510,N-Glycan biosynthesis,0.17307692307692307,0.38461538461538464,0.5769230769230769,0.5961538461538461,19,33,1,2,19,33,4.256393403848169e-06,4.256393403848169e-06,8.780404357040085e-06,8.306832288155298e-06
KEGG:hsa00562,Inositol phosphate metabolism,0.5073770491803279,0.6721311475409836,0.7459016393442623,0.7704918032786885,49,73,1,6,49,73,1.543447378503143e-06,1.4166506970290013e-06,3.419405928580918e-06,3.0131496270792625e-06
KEGG:hsa00564,Glycerophospholipid metabolism,0.04535714285714285,0.305,0.5,0.565,57,143,2,10,57,143,1.31102863012063e-15,5.613792622644109e-14,9.170545443178824e-15,3.7276952232069724e-13
KEGG:hsa00565,Ether lipid metabolism,0.828042328042328,0.28888888888888886,0.9015873015873016,0.9015873015873016,117,198,3,3,117,198,7.013254143826612e-06,4.587609172998337e-06,1.421215325028393e-05,8.905358982879125e-06
KEGG:hsa00590,Arachidonic acid metabolism,-0.017926089354660786,0.14607464607464607,0.4749034749034749,0.5328185328185329,71,188,3,22,71,188,1.1750173157723467e-23,1.2679827823224971e-17,1.8399702967435157e-22,1.409013520356326e-16
KEGG:hsa00591,Linoleic acid metabolism,0.19047619047619047,0.4746031746031746,0.5952380952380952,0.5952380952380952,35,91,1,5,35,91,1.1001699212871483e-08,3.258807828543012e-08,3.1323019659786995e-08,8.698141483537597e-08
KEGG:hsa00592,alpha-Linolenic acid metabolism,0.41509433962264153,0.5345911949685535,0.7075471698113207,0.7075471698113207,35,71,1,3,35,71,3.816345592963971e-06,5.3365950141410325e-06,7.932012408905508e-06,1.012465500069614e-05
