compound_id,smiles,addiction_status,compound_name,parent_smiles,inchikey,butina_cluster_id,butina_cluster_type,bbb_MW,bbb_TPSA,bbb_HBD,bbb_HBA,bbb_RotB,bbb_clogP,bbb_rings,bbb_fr_ArRings,bbb_heuristic_score,bbb_permeable_heuristic,bbb_permeable_egg
NEW00013,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,1,Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,PJMPHNIQZUBGLI-UHFFFAOYSA-N,0,addictive_only,336.47900000000004,23.550000000000004,0,2,6,4.136700000000004,3,2,5,1,1
NEW00039,CC(C)C(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,1,Isobutyrylfentanyl,CC(C)C(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,WRPFPNIHTOSMKU-UHFFFAOYSA-N,4,addictive_only,350.5060000000001,23.550000000000004,0,2,6,4.382700000000004,3,2,5,1,1
NEW00180,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=C(C=C3)Cl,1,para-Chlorofentanyl) N-(4-chlorophenyl)-N-(1 phenethylpiperidin-4-yl)propionamide),CCC(=O)N(c1ccc(Cl)cc1)C1CCN(CCc2ccccc2)CC1,CUGMWAHBYRKBKL-UHFFFAOYSA-N,5,addictive_only,370.92400000000015,23.550000000000004,0,2,6,4.790100000000004,3,2,5,1,1
NEW00004,CCN(CC)CCN1C2=C(C=C(C=C2)[N+](=O)[O-])N=C1CC3=CC=C(C=C3)OCC,1,Etonitazene,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,PXDBZSCGSQSKST-UHFFFAOYSA-N,11,addictive_only,396.4910000000002,73.42999999999999,0,6,10,4.275800000000004,3,3,5,1,1
NEW00055,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,1,Levo-alphacetylmethadol,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,XBMIVRRWGCYBTQ-AVRDEDQJSA-N,12,addictive_only,353.50600000000003,29.54,0,3,8,4.654600000000005,2,2,5,1,1
NEW00056,CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)OC,1,Levomethorphan,COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,MKXZASYAUGDDCJ-CGTJXYLNSA-N,31,mixed,271.404,12.47,0,2,1,3.3834000000000026,4,1,5,1,1
NEW00383,CC[C@H](C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)O,1,Alphamethadol,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,QIRAYNIFEOXSPW-YLJYHZDGSA-N,35,addictive_only,311.46900000000005,23.47,1,2,7,4.083800000000004,2,2,5,1,1
NEW00057,C[C@@H](CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4,1,Levomoramide,C[C@@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,INUNXTSAACVKJS-NRFANRHFSA-N,36,addictive_only,392.543,32.78,0,3,6,3.5634000000000023,4,2,5,1,1
NEW00219,CCC(=O)OC1(CCCN(CC1C)C)C2=CC=CC=C2,1,Proheptazine,CCC(=O)OC1(c2ccccc2)CCCN(C)CC1C,ZXWAUWBYASJEOE-UHFFFAOYSA-N,37,addictive_only,275.39199999999994,29.54,0,3,3,3.1968000000000023,2,1,5,1,1
NEW00390,CCCCCC(C(=O)C1=CC=CC=C1)N2CCCC2,1,alpha-pyrrolidinoheptaphenone (PV8),CCCCCC(C(=O)c1ccccc1)N1CCCC1,DLRWKNLMJAIFQB-UHFFFAOYSA-N,38,addictive_only,259.39300000000003,20.310000000000002,0,2,7,3.9140000000000033,2,1,5,1,1
NEW00373,CC(C)(C)[C@@H](C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CCCC=C,1,ADB-4en-PINACA (N-(1-amino-3 3-dimethyl-1 oxobutan-2-yl)-1-(pent-4-en-1-yl)-1H-indazole-3 carboxamide),C=CCCCn1nc(C(=O)N[C@H](C(N)=O)C(C)(C)C)c2ccccc21,NXDLAZXBALPFSN-MRXNPFEDSA-N,39,addictive_only,342.4430000000001,90.00999999999999,2,4,7,2.6323000000000008,2,2,4,1,0
NEW00102,CC(C)(C)[C@@H](C(=O)OC)NC(=O)C1=CN(C2=CC=CC=C21)CCCCCF,1,Methyl 2-(1-(5-fluoropentyl)-1H-indole-3-carboxamido) 3 3-dimethylbutanoate,COC(=O)[C@@H](NC(=O)c1cn(CCCCCF)c2ccccc12)C(C)(C)C,CHSUEEBESACQDV-GOSISDBHSA-N,40,addictive_only,376.47200000000004,60.33,1,4,8,4.098600000000003,2,2,5,1,1
NEW00349,CC(C)[C@@H](C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CCCCCF,1,5F-AB-PINACA (N-(1-amino-3-methyl-1-oxobutan-2-yl) 1-(5-fluoropentyl)-1 H-indazole-3-carboxamide),CC(C)[C@H](NC(=O)c1nn(CCCCCF)c2ccccc12)C(N)=O,WCBYXIBEPFZUBG-HNNXBMFYSA-N,41,addictive_only,348.422,90.00999999999999,2,4,9,2.4157999999999995,2,2,4,1,0
NEW00041,CCCCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43,1,JWH-018 (also known as AM678) (1-Pentyl-3-(1 naphthoyl)indole),CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,JDNLPKCAXICMBW-UHFFFAOYSA-N,42,addictive_only,341.4540000000001,22.0,0,2,6,6.215700000000005,4,4,4,1,0
NEW00024,C1CN(CCC1N(C2=CC=CC=C2)C(=O)C3=CC=CO3)CCC4=CC=CC=C4,1,Furanyl fentanyl (N-(1-phenethylpiperidin-4-yl)-N phenylfuran-2-carboxamide),O=C(c1ccco1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,FZJVHWISUGFFQV-UHFFFAOYSA-N,43,addictive_only,374.48400000000015,36.690000000000005,0,3,6,4.633500000000004,4,3,5,1,1
NEW04063,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,1,17α-methyl-4-hydroxynandrolone (17α-methyl-4 hydroxy-17β-hydroxyestr-4-en-3-one),CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,MUMGGOZAMZWBJJ-UHFFFAOYSA-N,45,mixed,288.43100000000004,37.3,1,2,0,3.8792000000000026,4,0,5,1,1
NEW00236,C1=CC=C(C=C1)CC(COC(=O)N)N,1,Solriamfetol (2-amino-3-phenylpropyl car-bamate; benzenepropanol beta-amino- carbamate (ester)),NC(=O)OCC(N)Cc1ccccc1,UCTRAOBQFUDCSR-UHFFFAOYSA-N,57,mixed,194.23400000000004,78.34,2,3,4,0.6517000000000001,1,1,5,1,1
NEW00194,C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O,1,Pentazocine,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,VOKSWYLNZZRQPF-GDIGMMSISA-N,71,addictive_only,285.43100000000004,23.47,1,2,2,3.8826000000000027,3,1,5,1,1
