source,target,weight,interaction,addiction_status,compound_name
TPTE,NEK3,0.785,PPI,NA,NA
SLC7A6,SLC43A2,0.81,PPI,NA,NA
ACYP1,ACYP2,0.909,PPI,NA,NA
PFDN5,ACTB,0.739,PPI,NA,NA
PEG10,SGCE,0.952,PPI,NA,NA
SRPRB,RPL17,0.817,PPI,NA,NA
STK33,DCX,0.785,PPI,NA,NA
DCLK3,DCX,0.727,PPI,NA,NA
SLC18A1,SLC16A1,0.776,PPI,NA,NA
ABCB5,PROM1,0.786,PPI,NA,NA
MATN3,PDIA4,0.708,PPI,NA,NA
KSR2,BRAF,0.823,PPI,NA,NA
TOMM6,TOMM5,0.999,PPI,NA,NA
NUDT1,ACY1,0.78,PPI,NA,NA
MOCS2,GPHN,0.998,PPI,NA,NA
ZNF384,BCAR1,0.811,PPI,NA,NA
GTF2A1L,GTF2A1,0.937,PPI,NA,NA
SLC26A6,SLC4A4,0.741,PPI,NA,NA
CDKL4,CDKL1,0.791,PPI,NA,NA
STON1-GTF2A1L,GTF2A2,0.924,PPI,NA,NA
IFT27,IFT74,0.999,PPI,NA,NA
MYO1B,MYO1C,0.906,PPI,NA,NA
MYO1B,ACTB,0.85,PPI,NA,NA
MYO1B,ACTG1,0.757,PPI,NA,NA
LRRFIP1,MYD88,0.763,PPI,NA,NA
NOXO1,AKT1,0.879,PPI,NA,NA
P2RY8,JAK2,0.759,PPI,NA,NA
SLC5A3,SLC6A12,0.883,PPI,NA,NA
KCNJ16,KCNJ10,0.998,PPI,NA,NA
PODXL,GNE,0.769,PPI,NA,NA
TCOF1,TBL1X,0.718,PPI,NA,NA
CLCNKB,KCNJ1,0.942,PPI,NA,NA
CD300LD,CD300LF,0.755,PPI,NA,NA
NKX3-1,AKT3,0.943,PPI,NA,NA
NKX3-1,AKT1,0.94,PPI,NA,NA
NKX3-1,AKT2,0.907,PPI,NA,NA
ERG,KCNH6,0.727,PPI,NA,NA
STK40,TRIB3,0.885,PPI,NA,NA
SH3GLB2,SH3KBP1,0.855,PPI,NA,NA
PLK3,KSR1,0.836,PPI,NA,NA
PLK3,CHEK2,0.814,PPI,NA,NA
REXO4,REXO2,0.845,PPI,NA,NA
SAR1B,TRAPPC3,0.739,PPI,NA,NA
SEC31B,SAR1B,0.976,PPI,NA,NA
TLX1,ABL1,0.756,PPI,NA,NA
TMPRSS3,LOXHD1,0.707,PPI,NA,NA
SLC16A4,CA9,0.886,PPI,NA,NA
SLC16A4,SLC2A1,0.777,PPI,NA,NA
SLC35A1,GNE,0.76,PPI,NA,NA
MPP1,EPS8,0.857,PPI,NA,NA
TIE1,TEK,0.827,PPI,NA,NA
TIE1,VEGFC,0.756,PPI,NA,NA
