compound_id,smiles,addiction_status,compound_name,parent_smiles,inchikey,butina_cluster_id,butina_cluster_type,bbb_MW,bbb_TPSA,bbb_HBD,bbb_HBA,bbb_RotB,bbb_clogP,bbb_rings,bbb_fr_ArRings,bbb_heuristic_score,bbb_permeable_heuristic,bbb_permeable_egg
NEW00576,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0,TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,SHGAZHPCJJPHSC-YCNIQYBTSA-N,2,non-addictive_only,300.44200000000006,37.3,1,1,5,5.602600000000005,1,0,4,1,0
NEW00670,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0,CHLORPHENIRAMINE,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,SOYKEARSMXGVTM-UHFFFAOYSA-N,3,non-addictive_only,274.795,16.130000000000003,0,2,5,3.8186000000000027,2,2,5,1,1
NEW02468,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],0,BETAMETHASONE SODIUM PHOSPHATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],VQODGRNSFPNSQE-DVTGEIKXSA-L,6,non-addictive_only,470.4300000000003,147.02,2,8,4,0.7486999999999999,4,0,4,1,0
NEW01103,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0,CLOXACILLIN,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,LQOLIRLGBULYKD-JKIFEVAISA-N,10,non-addictive_only,435.8890000000002,112.74,2,6,4,2.5487200000000003,4,2,4,1,0
NEW01647,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,0,METHSCOPOLAMINE,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,LZCOQTDXKCNBEE-IKIFYQGPSA-N,13,non-addictive_only,318.3930000000001,59.06,1,4,4,1.0626999999999995,4,1,5,1,1
NEW02895,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+],0,DOLUTEGRAVIR SODIUM,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12,RHWKPHLQXYSBKR-BMIGLBTASA-M,14,non-addictive_only,418.3760000000002,103.7,1,6,3,0.7208000000000001,4,2,4,1,0
NEW01297,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0,AMOXICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,16,non-addictive_only,365.4110000000001,132.96,4,6,4,0.023700000000000443,3,1,3,1,0
NEW01049,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0,CALCITRIOL,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,GMRQFYUYWCNGIN-NKMMMXOESA-N,19,non-addictive_only,416.6460000000002,60.69,3,3,6,5.704700000000008,3,0,3,1,0
NEW02274,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0,TRIAMCINOLONE DIACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,XGMPVBXKDAHORN-RBWIMXSLSA-N,20,non-addictive_only,478.5130000000003,127.2,2,8,4,1.7620999999999991,4,0,4,1,0
NEW02673,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)[O-])[C@@]2(C)C=CC(=O)C=C12.[Na+],0,METHYLPREDNISOLONE SODIUM SUCCINATE,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)[O-])[C@@]2(C)C=CC(=O)C=C12,IMBXEJJVJRTNOW-XYMSELFBSA-M,21,non-addictive_only,473.5420000000003,141.03,2,8,6,0.8845999999999998,4,0,4,1,0
