source,target,weight,interaction,addiction_status,compound_name
TPTE,NEK3,0.785,PPI,,
SLC7A6,SLC43A2,0.81,PPI,,
ACYP1,ACYP2,0.909,PPI,,
PFDN5,ACTB,0.739,PPI,,
PEG10,SGCE,0.952,PPI,,
SRPRB,RPL17,0.817,PPI,,
STK33,DCX,0.785,PPI,,
DCLK3,DCX,0.727,PPI,,
SLC18A1,SLC16A1,0.776,PPI,,
ABCB5,PROM1,0.786,PPI,,
MATN3,PDIA4,0.708,PPI,,
KSR2,BRAF,0.823,PPI,,
TOMM6,TOMM5,0.999,PPI,,
NUDT1,ACY1,0.78,PPI,,
MOCS2,GPHN,0.998,PPI,,
ZNF384,BCAR1,0.811,PPI,,
GTF2A1L,GTF2A1,0.937,PPI,,
SLC26A6,SLC4A4,0.741,PPI,,
CDKL4,CDKL1,0.791,PPI,,
STON1-GTF2A1L,GTF2A2,0.924,PPI,,
IFT27,IFT74,0.999,PPI,,
MYO1B,MYO1C,0.906,PPI,,
MYO1B,ACTB,0.85,PPI,,
MYO1B,ACTG1,0.757,PPI,,
LRRFIP1,MYD88,0.763,PPI,,
NOXO1,AKT1,0.879,PPI,,
P2RY8,JAK2,0.759,PPI,,
SLC5A3,SLC6A12,0.883,PPI,,
KCNJ16,KCNJ10,0.998,PPI,,
PODXL,GNE,0.769,PPI,,
TCOF1,TBL1X,0.718,PPI,,
CLCNKB,KCNJ1,0.942,PPI,,
CD300LD,CD300LF,0.755,PPI,,
NKX3-1,AKT3,0.943,PPI,,
NKX3-1,AKT1,0.94,PPI,,
NKX3-1,AKT2,0.907,PPI,,
ERG,KCNH6,0.727,PPI,,
STK40,TRIB3,0.885,PPI,,
SH3GLB2,SH3KBP1,0.855,PPI,,
PLK3,KSR1,0.836,PPI,,
PLK3,CHEK2,0.814,PPI,,
REXO4,REXO2,0.845,PPI,,
SAR1B,TRAPPC3,0.739,PPI,,
SEC31B,SAR1B,0.976,PPI,,
TLX1,ABL1,0.756,PPI,,
TMPRSS3,LOXHD1,0.707,PPI,,
SLC16A4,CA9,0.886,PPI,,
SLC16A4,SLC2A1,0.777,PPI,,
SLC35A1,GNE,0.76,PPI,,
MPP1,EPS8,0.857,PPI,,
TIE1,TEK,0.827,PPI,,
TIE1,VEGFC,0.756,PPI,,
SHOC2,BRAF,0.857,PPI,,
SHOC2,KSR1,0.792,PPI,,
SHOC2,NCK1,0.784,PPI,,
SLC16A10,SLCO1C1,0.828,PPI,,
CENPW,ITGB3BP,0.993,PPI,,
UCK2,UPRT,0.999,PPI,,
KMO,QPRT,0.83,PPI,,
MAP3K3,MAP3K7,0.783,PPI,,
MAP3K3,AKT1,0.736,PPI,,
SLC30A2,SLC39A14,0.717,PPI,,
SLC30A6,SLC30A5,0.997,PPI,,
SLC30A6,SLC39A11,0.769,PPI,,
SLC30A6,SLC39A14,0.727,PPI,,
SELENON,GPX3,0.77,PPI,,
PRDX4,GPX3,0.737,PPI,,
CUX1,BANP,0.741,PPI,,
SLC39A1,SLC30A6,0.767,PPI,,
SLC39A1,SLC30A2,0.732,PPI,,
SLC39A13,SLC30A2,0.794,PPI,,
SLC39A13,SLC30A6,0.77,PPI,,
RASSF1,LATS1,0.835,PPI,,
RASSF1,AKT1,0.72,PPI,,
SH3PXD2A,CTTN,0.978,PPI,,
SH3PXD2A,CFL1,0.832,PPI,,
SH3PXD2A,NCK1,0.793,PPI,,
SORBS2,ABL1,0.838,PPI,,
SRGAP1,ROBO1,0.999,PPI,,
GAB3,LYN,0.853,PPI,,
WNK3,SLC12A5,0.887,PPI,,
WNK3,SLC12A4,0.862,PPI,,
WNK3,KCNJ1,0.853,PPI,,
VANGL2,RYK,0.925,PPI,,
VANGL2,PTK7,0.891,PPI,,
VANGL2,ROR2,0.89,PPI,,
