trajectory,n_addictive,n_non_addictive,odds_ratio,p_value,precision_addictive,FDR
addictive_dominant → non_addictive_neighborhood,393,548,33.033873175182485,8.662705209458219e-97,0.41764080765143463,9.528975730404041e-96
non_addictive_dominant → mixed_neighborhood,1,246,0.010351904989638132,4.352247403395658e-31,0.004048582995951417,2.3937360718676117e-30
non_addictive_dominant → non_addictive_neighborhood,4,254,0.04008943326528629,6.6364378271029745e-28,0.015503875968992248,2.4333605366044243e-27
mixed → non_addictive_neighborhood,5,150,0.09364686468646864,1.92481892664435e-13,0.03225806451612903,5.293252048271962e-13
mixed → mixed_neighborhood,1,33,0.09298871063576945,0.001756337762405324,0.029411764705882353,0.003863943077291713
non_addictive_dominant → no_classified_neighbors,0,14,0.0,0.028541037151735206,0.0,0.05232523477818121
addictive_dominant → no_classified_neighbors,3,23,0.40544013707432,0.16680526064411264,0.11538461538461539,0.26212255244074845
non_addictive_dominant → addictive_neighborhood,0,5,0.0,0.34507349169240104,0.0,0.47447605107705143
addictive_dominant → mixed_neighborhood,1,7,0.4474789915966387,0.6882795996645592,0.125,0.841230621812239
mixed → addictive_neighborhood,0,2,0.0,1.0,0.0,1.0
mixed → no_classified_neighbors,1,3,1.0473856209150327,1.0,0.25,1.0
